event_count_f1_from_mean_precision_recall,mean_boundary_error_ms,mean_event_attribution_accuracy,mean_event_count_f1,mean_event_count_mae,mean_event_count_precision,mean_event_count_recall,mean_invalid_link_rate,mean_speaker_match,mean_word_link_accuracy,path,rows,valid_rate
0.5092560645073935,,0.9066666666666666,0.47373842899160507,0.2763333333333333,0.4715740540453037,0.5534831772983426,,1.0,,experiments/cross_task_generalization/runs/task2_c0_claude-haiku-4-5-20251001_20260607_170328/task2_metrics.json,75,1.0
0.5007297976531824,,0.7834262222507836,0.45605858632042895,0.3913333333333333,0.3949474365431418,0.6839067604816714,,0.7953333333333333,,experiments/cross_task_generalization/runs/task2_c0_gpt-5-mini_20260606_181605/task2_metrics.json,75,1.0
0.37103240268842974,,0.9066666666666666,0.32408374258705047,0.424,0.3096606080247337,0.4627438419720869,,1.0,,experiments/cross_task_generalization/runs/task2_c0_gpt-5.4-mini_20260606_181553/task2_metrics.json,75,1.0
0.32628759258518464,,0.661010101010101,0.29820398322264025,0.29833333333333334,0.3129489280256544,0.3408139332287939,,0.9783333333333333,,experiments/cross_task_generalization/runs/task2_c1_claude-haiku-4-5-20251001_20260607_170328/task2_metrics.json,75,1.0
0.24324551180840998,,0.31932275132275134,0.22340396450701122,0.288,0.2143885373885374,0.281079125667361,,0.7303333333333334,,experiments/cross_task_generalization/runs/task2_c1_gpt-5-mini_20260606_181608/task2_metrics.json,75,1.0
0.5664335092906411,,0.9866666666666667,0.5310449315054417,0.322,0.43791262721638147,0.8017291672824564,,1.0,,experiments/cross_task_generalization/runs/task2_c1_gpt-5.4-mini_20260606_181557/task2_metrics.json,75,1.0
0.30834877660824805,,0.6052709956709956,0.28445285378226626,0.286,0.30381357531357533,0.313021428868769,,0.9753333333333334,,experiments/cross_task_generalization/runs/task2_c2_claude-haiku-4-5-20251001_20260607_170328/task2_metrics.json,75,1.0
0.22586623830556102,,0.28729100529100526,0.20123354274727628,0.29033333333333333,0.20121288412170066,0.2574043850885956,,0.735,,experiments/cross_task_generalization/runs/task2_c2_gpt-5-mini_20260606_181613/task2_metrics.json,75,0.9866666666666667
0.45881428045103034,,0.8666666666666667,0.4212636952074698,0.35833333333333334,0.35278784653177936,0.6559538634693683,,1.0,,experiments/cross_task_generalization/runs/task2_c2_gpt-5.4-mini_20260606_181601/task2_metrics.json,75,1.0
0.6338263940234812,571.9833481963659,,0.6156105905668144,6.99,0.684548981103782,0.5901019854433301,0.20417958931143038,,0.5857065646739628,experiments/cross_task_generalization/runs/task3_clean_c0_claude-haiku-4-5-20251001_20260615_002033/task3_metrics.json,40,0.925
0.8547610206229772,194.44888139326358,,0.8479849548323772,4.375,0.9181299693389913,0.7995747068289262,0.16365298972857042,,0.8193655585994677,experiments/cross_task_generalization/runs/task3_clean_c0_gpt-5-mini_20260615_203728/task3_metrics.json,40,0.625
0.5917409935903043,478.6131953309768,,0.5567795890591436,8.975,0.5818866521850743,0.6019348544342122,0.19198404482546333,,0.5950647999104629,experiments/cross_task_generalization/runs/task3_clean_c0_gpt-5.4-mini_20260615_203728/task3_metrics.json,40,0.75
0.5654747622045989,549.0364711672098,,0.5475649636720111,10.56,0.810642434787466,0.4341669347967446,0.21277470427902848,,0.628857992708144,experiments/cross_task_generalization/runs/task3_clean_c1_claude-haiku-4-5-20251001_20260615_002033/task3_metrics.json,40,1.0
0.8929327192967739,155.56484156296725,,0.8915659266172896,3.57,0.9771871087107428,0.8220541064056984,0.20453470079749264,,0.8639322266218962,experiments/cross_task_generalization/runs/task3_clean_c1_gpt-5-mini_20260615_203728/task3_metrics.json,40,1.0
0.49031137663578234,415.1395933941195,,0.47701374303542926,12.290000000000001,0.7916384137523325,0.3551341171270358,0.36717273574056153,,0.7654583289001204,experiments/cross_task_generalization/runs/task3_clean_c1_gpt-5.4-mini_20260615_203728/task3_metrics.json,40,1.0
0.6971880959792713,431.2856798799688,,0.6922866753961769,5.72,0.7643220824759948,0.6408952646827517,0.16040386257974945,,0.7297789338120729,experiments/cross_task_generalization/runs/task3_clean_c2_claude-haiku-4-5-20251001_20260615_002033/task3_metrics.json,40,1.0
0.9354631500043699,99.63309567116237,,0.9349740382993622,1.925,0.9689038704183306,0.9042537615934606,0.20133419726552643,,0.9454126353307976,experiments/cross_task_generalization/runs/task3_clean_c2_gpt-5-mini_20260615_203728/task3_metrics.json,40,1.0
0.5997854138634076,352.3498337800454,,0.5878116041082492,8.935,0.6392249704327365,0.5649297969593987,0.2038933964147226,,0.7553963355108598,experiments/cross_task_generalization/runs/task3_clean_c2_gpt-5.4-mini_20260615_203728/task3_metrics.json,40,1.0
0.26529108327192336,,,0.26529108327192336,66.46666666666667,0.15638575152041703,0.8737864077669902,,,,task1_exp1_gpt-5-mini,15,1.0
0.8675324675324675,,,0.8675324675324675,3.4,0.9329608938547486,0.8106796116504854,,,,task1_exp1b_gpt-5-mini,15,1.0
0.7395264116575592,,,0.7395264116575592,9.533333333333333,0.5918367346938775,0.9854368932038835,,,,task1_exp2_gpt-5-mini,15,1.0
0.8731707317073171,,,0.8731707317073171,3.466666666666667,0.8774509803921569,0.8689320388349514,,,,task1_exp2b_gpt-5-mini,15,1.0
0.4066666666666667,,,0.4066666666666667,35.6,0.26368876080691644,0.8883495145631068,,,,task1_exp1_gpt-5.4-mini,15,1.0
0.7046843177189408,,,0.7046843177189408,9.666666666666666,0.6070175438596491,0.8398058252427184,,,,task1_exp1b_gpt-5.4-mini,15,1.0
0.7218390804597702,,,0.7218390804597702,8.066666666666666,0.6855895196506551,0.7621359223300971,,,,task1_exp2_gpt-5.4-mini,15,1.0
0.7903225806451614,,,0.7903225806451614,5.2,0.8855421686746988,0.7135922330097088,,,,task1_exp2b_gpt-5.4-mini,15,1.0
0.4268292682926829,,,0.4268292682926829,12.533333333333333,0.5737704918032787,0.33980582524271846,,,,task1_exp1_claude-haiku-4-5-20251001,15,1.0
0.7719999999999999,,,0.7719999999999999,7.6,0.6564625850340136,0.9368932038834952,,,,task1_exp1b_claude-haiku-4-5-20251001,15,1.0
0.7265917602996255,,,0.7265917602996255,9.733333333333333,0.5914634146341463,0.941747572815534,,,,task1_exp2_claude-haiku-4-5-20251001,15,1.0
0.7959183673469387,,,0.7959183673469387,6.666666666666667,0.6866197183098591,0.9466019417475728,,,,task1_exp2b_claude-haiku-4-5-20251001,15,1.0
